id,summary
30649,"Summary
Instructions
Summary
'Paris Building' is MakerBot's third #WeekendMake. Click on the Instructions tab for print instructions and read MakerBot's blog post to be ready for the next challenge.
http://www.makerbot.com/blog/2014/07/18/makerbot-replicator-mini-weekendmake-paris/
This Parisan-style palace is absolutely lovely! Created by Jason Bakutis
Instructions
Printing Instructions For MakerBot Mini
=============================
If connected via WI-FI:   
On the Thing page, click on Thing Files to see available files.
Click on the part or version you want to print to download the thing to your computer. Click on the file once downloaded. MakerBot Desktop will open and the file you selected will appear on the build plate.  
Click the Print button to slice your model. To send the file to your MakerBot Replicator Mini and exit the Print dialog, click Start Print.  
When the print file is sent to the MakerBot Replicator Mini, the Action Button will blink blue. Press the Action Button to confirm the print. The Action Button will then glow red, indicating it is heating the MakerBot Replicator Smart Extruder. When the Smart Extruder is fully heated, the MakerBot Replicator Mini will start to print your model.        
When your print finishes, wait for the Smart Extruder to cool, then remove the build plate from the MakerBot Replicator Mini. Remove the print from the build plate, and peel off the raft from the bottom of the print.  
Every object printed on your MakerBot Replicator Mini will be built on a raft. The raft acts as a base for your object and any support structures, and ensures that everything adheres well to the build plate. The raft will be easily removable once you remove your finished object from the build plate.  
You're almost done. Go enjoy your weekend and take your newly printed friend with you. Take a few creative photos and upload them to Thingiverse as a Make by clicking I Made One above.
If connected via USB:   
On the Thing page, click on Thing Files to see available files.
Click on the part or version you want to print to download the thing to your computer. Click on the file once downloaded. MakerBot Desktop will open and the file you selected will appear on the build plate.  
Click the Print button to slice your model. To send the file to your MakerBot Replicator Mini and exit the Print dialog, click Start Print.   
If you decide not to send the file to the MakerBot Replicator Mini, click Cancel Print.   
When the print file is sent to the MakerBot Replicator Mini, the Action Button will glow red, indicating it is heating the MakerBot Replicator Smart Extruder. When the Smart Extruder is fully heated, the MakerBotReplicator Mini will start to print your model.  
When your print finishes, wait for the Smart Extruder to cool, then remove the build plate from the MakerBot Replicator Mini. Remove the print from the build plate, and peel off the raft from the bottom of the print.  
Every object printed on your MakerBot Replicator Mini will be built on a raft. The raft acts as a base for your object and any support structures, and ensures that everything adheres well to the build plate. The raft will be easily removable once you remove your finished object from the build plate.  
You're almost done. Go enjoy your weekend and take your newly printed friend with you. Take a few creative photos and upload them to Thingiverse as a Make by clicking I Made One above. 
Tags
building
License
CC BY
Paris Building
by MakerBot is licensed under the Creative Commons - Attribution license."
567695,"Summary
Instructions
Summary
This model of the iconic Seattle Space Needle stands 40 cm tall.  
[7/20/2015] Update: Fixed the center screw and made the antenna thicker.
Instructions
This model prints without supports though you may want to use a raft for the tall slender pieces. You may need to glue the lower part of the top  observation deck to the legs and the bottom part of the legs to the base. The rest of the pieces screw together so that they can be separated for transportation or replaced if broken.  
For best results printing the antennae in Top1.stl set fan power to 100% and use a minimum layer duration of 5 seconds.
Tags
architecture
building
Buildings
multi-part
needle
Seattle
SeeTheWorld
space
Space Needle
Washington
License
CC BY-SA
Seattle Space Needle
by Intentional3D is licensed under the Creative Commons - Attribution - Share Alike license."
3061573,"Summary
Summary
This is a single-lane, single span stone road bridge, designed for 15mm gaming. The roadway is approximately 26mm wide, the whole bridge is about 100mm long.
2018-09-03: Added a version with a cobbled road bed.
License
CC BY
Single Span Stone Road Bridge
by MojoBob is licensed under the Creative Commons - Attribution license."
3431285,"Summary
Print Settings
Summary
Print Settings
Supports:
No
Resolution:
0.1~0.2mm
Tags
bridge
Japan
Japanese
wooden
License
CC BY-NC-ND
Japanese Samurai Wooden Bridge
by 3DAlienWorlds is licensed under the Creative Commons - Attribution - Non-Commercial - No Derivatives license."
3754650,"Summary
Print Settings
Summary
Print Settings
Printer brand:
Creality
Printer:
Ender 3
Filament brand:
DEXP
Filament material:
PLA
Notes:
Since the model is big, it requires a very flat and well-leveled bed.
Do not use rafts as detaching such thin objects from rafts is difficult.
Tags
bridge
H0 scale
H0 scale building
ho scale
HO scale building
model railroad
Model Trains
scale model
License
CC BY-SA
HO scale railway bridge
by positron96 is licensed under the Creative Commons - Attribution - Share Alike license."
912478,"Summary
Summary
The Eiffel tower from Paris
Tags
tower
License
CC BY-SA
Eiffel tower
by Newcandle is licensed under the Creative Commons - Attribution - Share Alike license."
53451,"Summary
Instructions
Summary
The trouble with 3D printing a ball bearing is that spheres don't adhere to the 45 degree rule, so they tend to print poorly, or if metal balls are used instead, then the bearing requires assembly. This is a new kind of bearing that can only be manufactured by 3D printing and comes preassembled.
It is a planetary gearset and functions like a cross between a needle bearing and a thrust bearing. No cage is required to keep the rollers in place, because their gearing keeps them perfectly spaced. The gears are all herringbone, which is why it cannot be disassembled and also why it can act as a thrust bearing. If you're wondering how well a 3D printed bearing could work under load, please check out my video: http://youtu.be/ZghwSBiM0sU
This design is fully parametric and made to be adjusted in the Customizer app to whatever you need. Thanks to aubenc for finding a problem in the first version.
Instructions
The key to any bearing is the tolerance between the moving parts. Since this is printed all at once, you want the minimum tolerance possible, where any less would fuse the parts together. I print these with the MakerWare medium defaults on my Replicator 1 and it requires a fair bit of torque to break it free at first. It's designed to fit onto the standard English hex size for screwdriver bits, so you can use a tool to help turn it. Running it in a drill for a few minutes helps to smooth out the rotation. 
You can adjust the tolerance in Customizer if you need. You can also change the dimensions, numbers of planets, numbers of teeth, etc. Normal gears use a small pressure angle in order to transmit torque, but here I use a large pressure angle so that they transmit force better (hence why they look more pointed than usual). Your chosen number of sun gear teeth is approximate because planetary gearboxes turn out to be quite constrained in terms of what tooth numbers will fit. See the beginning of my code for the equation I came up with.
Tags
bearing
customizer
Customizer Challenge
Gear
openscad
parametric
part
planetary
preassembled
useful
License
CC BY-SA
Gear Bearing
by emmett is licensed under the Creative Commons - Attribution - Share Alike license."
2858209,"Summary
Summary
A tip as appreciation is welcome.
Backcover for the new Ender-3 Display.
Hi, i used four countersunk (2x M3x10 / 2x M3x16 (M3x18 work too)
02.12.2018
added a new version on request from ""DOC73"", a version for 3 plug use.
16.08.2018
added two new closed Versions for factory srews, one with buzzerhole, one without hole.
26.04.2018
new versions added.
Closed cover for bridge or support printing.
25.04.2018
My own Ender-3 was finally delivered yesterday.
I corrected something and created a second version without a bell.
I have killed the bell. ;)
Tags
backcover
cover
Creality
diy
Ender
Ender 3
Ender-3
Ender3
facebook
improve
improved
improvement
lcd
pcb
rocco
License
CC BY-NC-SA
Ender 3 Display LCD PCB Cover
by Rocco81-92 is licensed under the Creative Commons - Attribution - Non-Commercial - Share Alike license."
2357501,"Summary
How I Designed This
My Things
Summary
If you print this thing and find it useful, please consider hitting that ""Tip Designer""
button and help support more designs.
There is no Anet branding on their printers, so I created this for decoration.
How I Designed This
Designed in Sketchup Make 2017. 
The original screws were not long enough, so I added a bit more height to the posts in order to use some longer M3 screws that I had on hand.
My Things
Check out all of my Anet A8 projects:
Anet A8 - Filament Guide: https://www.thingiverse.com/thing:2357589
Anet A8 - Spring Bushing: https://www.thingiverse.com/thing:2357576
Anet A8 - M8 Nut Cap: https://www.thingiverse.com/thing:2357524
Anet A8 - Cooling Fan Cover: https://www.thingiverse.com/thing:2357501
Anet A8 - Power Supply Covers with Switch - https://www.thingiverse.com/thing:2320216
Anet A8 - MicroSD Card Extension Case - https://www.thingiverse.com/thing:2389960
Anet A8 - Front Frame Brace w/Mounting Holes - https://www.thingiverse.com/thing:2397219
Anet A8 - Y-Axis Cable Chain / Right Side - https://www.thingiverse.com/thing:2427198
Anet A8 - Extruder Button - https://www.thingiverse.com/thing:2427227
Anet A8 - LED Strip Mount - https://www.thingiverse.com/thing:2432707
Anet A8 - Spool Holder - https://www.thingiverse.com/thing:2441675
Other Things
Raspberry Pi Zero W - https://www.thingiverse.com/thing:2409582
Hex Bit Handle - https://www.thingiverse.com/thing:2464435
IKEA Lack Side Table Extender/Stacker (No Hardware) - https://www.thingiverse.com/thing:2476441
2040 Adjustable Spool Holder for AM8 - https://www.thingiverse.com/thing:2514285
2040 Filament Guide for AM8 - https://www.thingiverse.com/thing:2514301
Tags
Anet A8
cooling fan
cover
License
CC BY-NC
Anet A8 - Cooling Fan Cover
by Puddlefist is licensed under the Creative Commons - Attribution - Non-Commercial license."
40377,"Summary
Instructions
Summary
Keep From Getting Shocked! The most popular 12 Volt Power Supplies used have an exposed 115 VAC to 230 VAC Live Terminal Exposed! This Cover is easily printed, has snap fit retention (no screws needed) and is available with or without a switch hole. Few things on Thingiverse can actually save a life, this is one of them. The life you save, might be your own.
Instructions
Print, feed your wires through the wire hole, and install. 
If you print the one with the switch hole, I use a standard (extrememly popular) size. The hole is for switches that need a 20mm x 13mm. If you want to change it, I have provided both the Google Sketchup File and STL Files for both. 
If you do use a switch, I would recommend the supply side live 115 - 230 VAC switched.
The hole for the wires is large enough for any wires you will install, but small enough that little fingers can never touch the live line.
If you need help how to hook it up, here's a video at http://www.youtube.com/watch?v=27lcqgOBb2c 
Tags
110
12
12 Volt
3D
cover
life
lifesaver
mendel
parts
power
power supply cover
printer
proof
prusa
ps
reprap
Safety
saver
shock
supply
switch
vac
vdc
License
CC BY
12 Volt Power Supply Cover
by beekeeper is licensed under the Creative Commons - Attribution license."
193647,"Summary
Print Settings
Summary
Generate your own nuts, bolts, washers and threaded rod by simply typing the required parameters into customizer.  Great for replacing metal equivalents in many applications such as the ROLLER RING |  Universal Filament Spool Holder http://www.thingiverse.com/thing:176442.  
Includes options to generate WingNuts for easy hand tightening and removal.  Now includes socket cap, socket button and socket countersunk head types with support for socket, phillips and slot drives. You can also join threaded rod to form unlimited lengths by creating a custom extended joiner nut.  Uses the PolyScrewThread library from http://www.thingiverse.com/thing:8796
NEW Updated version 6/3/2016: added extended options to control number of facets on nuts, square sockets (or any number of facets) and socket depth control.
NEW Updated version 1/1/2017: modified library code to remove dependence on deprecated 'assign' statement.
Go Nuts!  :)
Please support my designs by downloading and liking here - all the clicks help :) https://makerworld.com/en/models/55381#profileId-92304
Print Settings
Rafts:
No
Supports:
No
Infill:
100%
Notes:
Defaults are for a 8mm diameter bolts, rod, matching nuts and wing nuts that work well together (at least with my printer settings) without cleanup or modification. Please be patient rendering and compiling longer components as the rendering is very calculation intensive.
Some default parameters such as the nut outer diameter are deliberately slightly larger than the bolt diameter to produce a snug fit that can still be hand tightened. Some have suggested a 0.8mm difference works well. This may need to be altered depending on individual printer variances, slicing tools, filament etc. Some cleanup may also be required around socket openings depending on first layer print preferences.
I suggest printing a matching bolt and nut and adjusting as necessary. Note: slow print speeds and solid fill are recommended for best results. Printing more than one at a time to improve layer cooling works well.
Use a brim of about 2mm for printing threaded rod and it should be stable up to about 150 mm in length. You can extend the length by creating nut joiners. For example, an 18mm nut height will join two rod lengths very strongly.
Tags
bolt
button
button cap
cap
countersunk
customizer
factory
fastener
joiner
model
nut
openscad
parametric
phillips
phillips head
Quadcopter
rod
screw
screws
screw library
slot
socket
socket cap
thread
threaded
threaded rod
washer
wingnut
wing nut
zlacze
License
CC BY-NC
NUT JOB | Nut, Bolt, Washer and Threaded Rod Factory
by mike_mattala is licensed under the Creative Commons - Attribution - Non-Commercial license."
264017,"Summary
Instructions
Summary
Here is a Universal Joint for your printing pleasure.  When printing scale the pin file down a bit to make it fit easier and allow for movement.  The assembly is not print ready so only print the parts if you want to assemble it.  I have included the inventor files for your use.  I have added new threaded STL files for the Fork and Studs.
Instructions
If you choose to print this I would reduce the scale of the pin prior to printing so it fits well enough to allow for movement.  
Tags
Automotive
Automotive device
bolt
bolted part
car
cars
car parts
coupling
cut threads
drive parts
drive shaft
flex joint
flexible
joint
machine parts
mechanical
Mechanical Device
mechanical gizmo
part
parts
reichwec
screws
tapped
tapped holes
tapped parts
thing
thread
threaded parts
threads
universal
universal joint
License
CC BY-SA
Universal Joint
by reichwec is licensed under the Creative Commons - Attribution - Share Alike license."
3576552,"Summary
Assembly manual
Summary
Universal platform for robotics or RC vehicle just for fun!
This project was created as ""proof of concept"" of rocker-bogie chassis. It was used for testing software and mechanical properties.
If you will use this project in your scientific research, or you will print it for fun, please don't forget about posting photos in ""make"" section :D
What materials do you need?
Printed parts:
mani body
main body 2
chassis 1 (1 + 1 mirrored)
chassis 2 (1 + 1 mirrored)
chassis rod
link (4x)
wheel (6x)
Mechanics:
6x 130 geared motors
14x self locking M3 nuts
3x self locking M4 nuts
2x self locking M5 nuts
3x M5 nut
2x M4 nut
12x M3x30 screw
2x M3x20 screw
2x M3x14 screw
2x M5x30 flat head screw
3x M4x25 flat head screw
M3 Threated rod, nuts and washers for mounting upper plate (optional)
2x 2x10 wood screws or similar (for mounting wheels)
4x M2.5 screw for Arduino
Electronics:
Arduino or another MCU
DC motor driver (dual H-bridge)
Any type of RC system (I used Bluetooth with smartphone app)
basically anything you want
Assembly manual
Assembling is really easy and straightforward. There are a few things you need to pay attention during printing and assembling:
You have to adjust your printing settings for ""link.stl"". I separated link into 2 sections for easier printing. If you noticed that it's ""glued"" together, use negative XY correction in your slicer settings (""Horizontal expansion"" in Cura, ""XY size compensation"" in Slic3r)
If everything works correctly, glue it together with piece of 1.75mm filament inside.
Linkage should looks like this:
Tags
Chassis
Martian rover
Remote control
robot
robot chassis
rocker bogie
License
CC BY-NC
RC Rocker-bogie chassis (Mini martian rover)
by Tadziurski is licensed under the Creative Commons - Attribution - Non-Commercial license."
604915,"Summary
Summary
Update May 2018 see lienbacher's comment below for a version that will work with a Pi 3 B+, which has addition POE pins.  I updated the v2.1 version on here with a larger pin cutout but don't have a Pi 3 B+ to test with
Updated March 2018: Added a new version (2.0) with a larger cutout for the microSD card since newer models aren't spring loaded.  I also loosened up the tolerances and tweaked the design to make it easier to print, and added a latch to the cap so the Raspberry Pi is less likely to fall out.
Simple sleeve to protect a Raspberry Pi* from falling screws.  The main part of the case slides over the Raspberry Pi, and a cap fits around the connectors.  The parts are only held in place by friction so it probably isn't a good option for transport or if you frequently plug / unplug devices (mine just sits under my printer running Octoprint).  Only the ports along the sides are exposed.  
The cap part may need a small amount scaling on the z axis since the height can vary significantly with layer height and first layer thickness.  
Filament:
-- Colorfabb Red PLA/PHA*
-- ESun Yellow PLA*
-- Filamentum Vertigo Grey PLA*
-- Sainsmart Clear PETG*
Several other of my PI case designs can be found in this collection.
*affiliate links
Tags
b
case
octopi
Octoprint
Raspberry Pi
sleeve
License
CC BY-SA
Sleeve Case for Raspberry Pi
by walter is licensed under the Creative Commons - Attribution - Share Alike license."
1753130,"Summary
Print Settings
Summary
A thin sleeve for 18650 batteries to prevent shortcuts during transport.
Print in vase mode/1 shell, no top layers, 4 bottom layers, 0.5mm extrusion width.
100% for inner part
resize x and y to 109-110% for the outer part
I have added a longer version that can be used for custom lengths.
It can be cut in Slicer to any required length.
Print Settings
Printer brand:
Prusa
Printer:
Prusa Mk2
Rafts:
Doesn't Matter
Supports:
No
Resolution:
0.3 mm
Infill:
0%
Tags
18650
battery box
battery case
Ecig
vaping
License
CC BY
18650 battery sleeve
by Monza is licensed under the Creative Commons - Attribution license."
2238443,"Summary
Summary
This design is listed under a non commercial license, please don't ask if you can sell!
Additional shell design stls available here.
This 3d printed turtle uses the same flex concept from my Mini Monster Truck to create legs that allow the toy to bounce and scurry around when tapped. The head can also retract into the shell.
Check out my process for designing this thing here
The model assembles with the printed H-Clips and needs no glue. The parts print without the need for supports.
If you are interested in my design process and latest 3d printing experiments, check out my website and my Twitter.
https://www.youtube.com/watch?v=7YMq4T2ZYYQ&feature=youtu.be
1fQi4dO1prnjXr39rZPYfA+DRmnLvrtjF/Kk7N7JbSMn75r5PkDlyWWg8HoGum7l2
YoVxy1t9e2q76JUZKMYHA====


This design will probably not work with a brim unless you spend time sanding and cleaning up the edges at the base of the print. This will stick the springs together and make the center channel for the head narrower. Using a raft might also affect this.
If you are having trouble with the head sliding, I have uploaded 3 head files with the stem portion scaled to be narrower:
Head95.stl - 95% original width
Head9.stl - 90% original width
Head85.stl - 85% original width
Tags
creature
mechanical
mechanical toy
nature
squishy
toy
turtle
License
CC BY-NC-ND
Squishy Turtle
by jakejake is licensed under the Creative Commons - Attribution - Non-Commercial - No Derivatives license."
164317,"Summary
Instructions
Summary
A model loggerhead turtle with moveable flippers. You could call it an ""action figure"", but there's a distinct absence of mutation and/or martial arts training for this little guy!  
All four flippers are attached by ball joints that are captured during the printing process. The front and back halves of the model snap together with the included H-clip.  
Some cool info about loggerheads: http://www.youtube.com/watch?v=isjxWHoMz1E  
Just want to print it?
Then ""Loggerhead_plated.STL"" is the file for you!   
Switch off automatic supports in your slicer software. There are only two supports needed and they're included in the STL. Don't forget to snap them off with pliers after printing.  
Plate it yourself? Dual Extruder? Soluble supports?
Download ""Loggerhead_unplated.zip"" and may The Force be with you.
Instructions
The model is designed to print with only two supports (included in the STL) for the rear flipper ball joints in the back half of the model.  
After printing the back half its supports should be removed with pointy-nosed pliers. You should see a kind of crown pattern where the support and and the ball meet. It doesn't really matter if you can't get the whole support out - the back flippers will still move, but not quite as much.  
The joints have a 0.5mm clearance when printed at 100% scale, which should be fine for most printers. If they feel too loose after printing then try heating the model and pressing the surrounding plastic to tighten the socket.  
Depending on your printer and slicer calibration the very first layer may fuse the ball and socket together in the front half of the model. If this happens then carefully cut through to the gap with a hobby knife after printing. Update: I have uploaded a version designed to minimise any first layer fusing (see Loggerhead_NoFuseJoints_plated.STL).  
The two halves will join together best if the surface between them is perfectly flat. For this reason I would suggest printing without a raft if possible (or sanding off any marks it leaves).
Tags
animal
Articulated
high resolution
joints
loggerhead
poseable
toy
turtle
License
CC BY-SA
Loggerhead Sea Turtle (poseable)
by 4MULE8 is licensed under the Creative Commons - Attribution - Share Alike license."
317283,"Summary
Instructions
Summary
I really like to create movable toys that you can print pre-assembled, so I made a little friend for the Ape figurine.
If you like me to spend more time adding animals to the zoo, please consider supporting me by buying my models for cheap on http://3dsha.re/portfolio/?id=97 :o)   
*Update: Version 2.0 has more support included that will make it stick better to the platform and will help getting a smoother print.   
*Update: Version 2.1 the different parts are now solid, the toys seems strong enough without the inner walls so this means faster printing.  
Instructions
It's a easy print and doesn't need support anymore!
I updated the Turtle with some minor changes and also included a small pillar under the neck that you have to break or cut off after printing, this might be a bit tricky, let me know please.
I would also advise to use a brim to keep the different parts better in place while printing.
The latest version should print within a few hours and uses about 4 grams of plastics with the settings below:   
Print speed 50 mm/s
Bottom, outer wall and top 0.5 mm
Layer height 0.15 mm
Infill 25% with a speed of 75 mm/s   
If you want a really nice print, just lower the layer height.   
Tags
animal
cute
funny
gadget
plaything
Pre-assembled
toy
turtle
updated
License
CC BY-NC
Turtle
by egon is licensed under the Creative Commons - Attribution - Non-Commercial license."
2298475,"Summary
Summary
If you look inside the planter, there are two more turtles on the back of this ""Squishy Turtle"" by jakejake. Its bouncy legs and retractable head make it fun to play with. Feel free to copy and tinker with the model on Tinkercad.
Is this planet actually flat? If so, what holds up the Earth?
""Turtles all the way down"" is an expression of the infinite regress problem in cosmology posed by the ""unmoved mover"" paradox. The metaphor in the anecdote represents a popular notion of the model that Earth is actually flat and is supported on the back of a World Turtle, which itself is propped up by a column of turtles. Questioning what the final turtle might be standing on, the anecdote humorously concludes that it is ""turtles all the way down"". (Wikipedia)
Choose your favorite version of the Shell Pot part, and print one of everything else, except the ""H"" clip, print and install two of those. Here's the assembly video from JakeJake's thing
Tags
container
flower
flower pot
garden
plant
planter
pot
turtle
License
CC BY
Turtle Planter
by CaptObvious is licensed under the Creative Commons - Attribution license."
1666174,"Summary
Summary
I detailed a turtle for a sculpture. The belly is roughed in because I don't have it showing for my final use. It's hi-res, suitable for SLA. This little guy will print out at just under 2"" as is.
Tags
animal
hawaii
sea turtle
SLA
turtle
wyland
License
CC BY
Sea Turtle
by Simonarri is licensed under the Creative Commons - Attribution license."
23823,"Summary
Instructions
Summary
A cute Turtle to protect your keys!
Instructions
Print it
Make a Picture
Upload it!
Tags
art
blender
keychain
PLA
prusa
supportless
toy
turtle
License
CC BY-NC-SA
Turtle Keychain
by Roland is licensed under the Creative Commons - Attribution - Non-Commercial - Share Alike license."
2316918,"Summary
Print Settings
Summary
Remix for multi-material printers.
Original model:
https://www.thingiverse.com/thing:220596
Print Settings
Printer brand:
Prusa
Printer:
Prusa Mk2
Rafts:
No
Supports:
No
Resolution:
0.2
Infill:
10%
Notes:
MultiMaterial upgrade
Tags
dual extrusion
Gustav
mmu
multi-color
multi-extrusion
Multi-material
Multicolor
multimaterial
turtle
License
CC BY-NC-SA
Gustav the Turtle (multi-material)
by cipis is licensed under the Creative Commons - Attribution - Non-Commercial - Share Alike license."
66181,"Summary
Instructions
Summary
It's a turtle!
The shell pattern is based on an exploded truncated icosahedron (also known as a soccer ball).
Instructions
The print is with a layer height of 0.2 mm, 3 shells, feedrate 60 mm/s. It printed almost perfectly, but I'd probably try using 4 shells next time.
Tags
makerbot
model
openscad
truncated icosahedron
turtle
License
CC BY-SA
Turtle
by thakis is licensed under the Creative Commons - Attribution - Share Alike license."
4727379,"Summary
Print Settings
Summary
A turtle just for fun.  No Supports or Infill needed. Can be scaled.
Print Settings
Printer brand:
Creality
Printer:
Ender 3
Rafts:
No
Supports:
No
Resolution:
.2
Infill:
0
Filament brand:
overture
Filament color:
green
Filament material:
pla +
Notes:
Prints well FDM or SLA
Tags
animals
Decoration
garden
home decor
sculpure
turtle
turtles
yard
License
CC BY
TURTLE
by Jipcutter is licensed under the Creative Commons - Attribution license."
4551152,"Summary
How I Designed This
Summary
The cutest animal hybrid from Avatar: The Last Airbender, exported at 8 cm long but it should be good to scale.
How I Designed This
My first model for printing, I sculpted with Blender and used its 3d-print toolbox to check for errors so it should be good to go. I used scenes from the show and this beautiful render by Typhen as reference
Tags
amphibian
animal
animals
aquatic
atla
avatar
avatar aang
bird
cute
duck
hybrid
reptile
turtle
turtleduck
License
CC BY
Turtle Duck
by NotOnLand is licensed under the Creative Commons - Attribution license."
421809,"Summary
Instructions
Summary
A half scale model of a garden turtle digitized with the new version of AutoCad's 123D Catch (v3.0.0.54/July 31, 2014)  - came out well.            
Instructions
The turtle can be printed without support.  
Tags
123D Catch
License
CC BY
Garden Turtle
by pmoews is licensed under the Creative Commons - Attribution license."
2170990,"Summary
Summary
This is a little desktop model of a retro ""turtle sandbox."" It comes in three approximate diameters: 50, 100, and 150 mm (2, 4, and 6 inches). The photo shows the middle size.
Scale the STLs from the nearest size if you want a specific diameter. They're mostly identical but some wall thicknesses and clearances are different.
The lid and base are in separate files because the lid needs supports under it, but the base does not.
Tags
bin
box
desktop
kids
lid
play
retro
sand
Sandbox
Throwback
turtle
License
CC BY-SA
Turtle Sandbox Mini
by DrewTM is licensed under the Creative Commons - Attribution - Share Alike license."
220596,"Summary
Print Settings
PetPals
Summary
You'd think he's slow, but once Gustav gets his shell waxed and buffed to a shine, he's actually pretty speedy. In fact, if you fill his bowl full of iceberg lettuce, he'll fly like a racecar trapped in a reptile's body. 
Print Settings
Printer brand:
MakerBot
Printer:
MakerBot Replicator (5th Generation)
Rafts:
Doesn't Matter
Supports:
No
Notes:
Print Time: 5:55:00
Parts: 4
Files: 1
Dimensions: 97x97x75 MM
PetPals
Part of the PetPals collection
Tags
animal
turtle
License
CC BY-NC-SA
Gustav the Turtle
by MakerBot is licensed under the Creative Commons - Attribution - Non-Commercial - Share Alike license."
3408784,"Summary
Summary
Its a turtle head (turtle neck included)
There are 2 holes at the bottom so you could also hang it on the wall. It however also works great standing. Making the head look out of something like a box should be nice as well.
The default size is pretty big. Scale it down to whatever turtle size you like. I printed mine in Wood PLA.
Prints without support.
A message on behalf of all the turtles:
Be mindful where you put your plastic trash. Small traces can end up in their bellies while bigger parts can be stuck around their body parts.
Want to get your pet sculpted or anything else? Check out my commissions page here:
http://www.vitamin3d.com/Commissions.html
Twitter: https://twitter.com/TocoGamescom
Tags
animal
head
realistic
turtle
License
CC BY-NC-SA
Turtle Head
by Davision3d is licensed under the Creative Commons - Attribution - Non-Commercial - Share Alike license."
